char,level
愛,1
八,1
爸,1
吧,1
白,1
百,1
半,1
幫,1
包,1
北,1
備,1
本,1
比,1
邊,1
別,1
彆,1
病,1
不,1
菜,1
茶,1
差,1
常,1
場,1
唱,1
車,1
吃,1
出,1
穿,1
次,1
從,1
錯,1
答,1
打,1
大,1
蛋,1
到,1
道,1
得,1
地,1
的,1
等,1
第,1
點,1
電,1
店,1
東,1
動,1
都,1
對,1
多,1
餓,1
兒,1
二,1
飯,1
方,1
房,1
放,1
飛,1
非,1
分,1
服,1
乾,1
幹,1
干,1
高,1
告,1
哥,1
歌,1
個,1
給,1
跟,1
工,1
關,1
貴,1
國,1
果,1
過,1
還,1
孩,1
漢,1
好,1
號,1
喝,1
和,1
很,1
後,1
后,1
候,1
花,1
話,1
壞,1
歡,1
回,1
迴,1
會,1
火,1
機,1
雞,1
幾,1
記,1
家,1
傢,1
假,1
間,1
見,1
教,1
叫,1
覺,1
姐,1
介,1
今,1
進,1
淨,1
九,1
就,1
開,1
看,1
考,1
渴,1
課,1
口,1
塊,1
快,1
來,1
老,1
了,1
瞭,1
累,1
冷,1
裡,1
裏,1
里,1
兩,1
零,1
六,1
樓,1
路,1
媽,1
馬,1
嗎,1
買,1
忙,1
麼,1
沒,1
門,1
們,1
面,1
麵,1
名,1
明,1
拿,1
哪,1
那,1
奶,1
男,1
南,1
難,1
呢,1
能,1
你,1
年,1
您,1
牛,1
女,1
旁,1
跑,1
朋,1
票,1
七,1
期,1
起,1
氣,1
汽,1
前,1
錢,1
請,1
球,1
去,1
熱,1
人,1
認,1
日,1
肉,1
三,1
山,1
上,1
少,1
紹,1
身,1
什,1
生,1
師,1
十,1
時,1
識,1
事,1
試,1
視,1
是,1
手,1
書,1
樹,1
誰,1
水,1
睡,1
說,1
四,1
送,1
訴,1
歲,1
他,1
她,1
太,1
體,1
天,1
聽,1
同,1
外,1
玩,1
晚,1
網,1
忘,1
文,1
問,1
我,1
五,1
午,1
西,1
息,1
習,1
洗,1
喜,1
係,1
繫,1
系,1
下,1
先,1
現,1
想,1
小,1
笑,1
些,1
寫,1
謝,1
新,1
星,1
行,1
興,1
休,1
學,1
樣,1
要,1
也,1
一,1
衣,1
醫,1
用,1
友,1
有,1
雨,1
語,1
遠,1
院,1
月,1
再,1
在,1
早,1
怎,1
站,1
找,1
這,1
著,1
真,1
正,1
知,1
中,1
住,1
準,1
准,1
子,1
字,1
走,1
昨,1
作,1
坐,1
做,1
才,1
長,1
但,1
當,1
而,1
該,1
更,1
黑,1
借,1
酒,1
可,1
怕,1
然,1
讓,1
所,1
完,1
為,1
向,1
嚮,1
以,1
意,1
因,1
應,1
又,1
助,1
把,1
每,1
木,1
班,2
杯,2
床,2
弟,2
讀,2
風,2
館,2
京,2
客,2
慢,2
毛,2
妹,2
米,2
腦,2
商,2
條,2
圖,2
校,2
爺,2
頁,2
影,2
右,2
元,2
重,2
桌,2
最,2
左,2
啊,2
安,2
般,2
板,2
闆,2
辦,2
飽,2
報,2
背,2
筆,2
必,2
變,2
便,2
遍,2
表,2
錶,2
部,2
參,2
餐,2
草,2
層,2
查,2
超,2
晨,2
稱,2
成,2
楚,2
處,2
吹,2
春,2
詞,2
帶,2
單,2
倒,2
燈,2
低,2
典,2
掉,2
定,2
冬,2
懂,2
度,2
短,2
段,2
隊,2
發,2
髮,2
法,2
份,2
複,2
覆,2
復,2
改,2
感,2
剛,2
公,2
共,2
狗,2
夠,2
故,2
顧,2
觀,2
慣,2
廣,2
海,2
喊,2
合,2
河,2
紅,2
忽,2
湖,2
護,2
劃,2
划,2
畫,2
換,2
黃,2
活,2
或,2
級,2
急,2
己,2
計,2
際,2
績,2
加,2
檢,2
件,2
健,2
講,2
交,2
角,2
餃,2
腳,2
接,2
街,2
節,2
結,2
斤,2
近,2
經,2
睛,2
靜,2
久,2
舉,2
句,2
卡,2
康,2
靠,2
科,2
克,2
刻,2
空,2
哭,2
筷,2
拉,2
藍,2
籃,2
樂,2
離,2
禮,2
理,2
力,2
利,2
例,2
臉,2
練,2
涼,2
亮,2
輛,2
量,2
留,2
流,2
旅,2
綠,2
論,2
賣,2
滿,2
貓,2
目,2
鳥,2
弄,2
努,2
爬,2
排,2
碰,2
